,carrier,sentiment,polarity,text,clf_text
21479,att tmobile,neg,-0.5,@HeartOfSMG @PopAIertNews @TMobile @ATT Sorry I just found out,@tmobile @att sorry i just found out
21484,att tmobile,pos,0.2,@bedofroses2001 really att this why I have tmobile and comcast,really att this why i have tmobile and comcast
21485,att tmobile,neg,-0.15555555555555559,"@PopAIertNews @AriTaylena @TMobile @ATT Please take this down, the videos were not meant to be released yet",@tmobile @att please take this down the videos were not meant to be released yet
21526,att tmobile,neu,0.0,@PopAIertNews @TMobile @ATT I SCREAMED AOIDNOIDZONDNOD OMG ITS SO HEAVINGLY CRYIINGGGG,@tmobile @att i screamed aoidnoidzondnod omg its so heavingly cryiingggg
5537,att verizon,pos,0.2,@MisterPreda @verizon @ATT @verizon is absolute GARBAGE even when you do use the service FT🤦🏻‍♂️,@verizon @att @verizon is absolute garbage even when you do use the service ft
5605,att verizon,neu,0.0,@MisterPreda @verizon @ATT Can't relate,@verizon @att relate
5661,att verizon,pos,0.2,@MisterPreda @sarahcoasts @verizon @ATT Goals not having to check how much I have in my savings account.,@verizon @att goals not having to check how much i have in my savings account
5738,att verizon,neu,0.0,"Anyone here have experience selling for big telecom (Verizon, ATT, Sprint, etc) as a SMB Account Exec? -

Finished 2nd round interview today and looking for insights into this industry. Coming from selling uniform rentals so I was lost on all the product offerings. Sales man…""",anyone here have experience selling for big telecom verizon att sprint etc as a smb account exec finished round interview today and looking for insights into this industry coming from selling uniform rentals so i was lost on all the product offerings sales man
5837,att verizon,pos,0.05,@verizon @VZWSupport how is your coverage at Houston (HOU)? @ATT barely works,@verizon how is your coverage at houston hou @att barely works
5883,att verizon,pos,0.25,"Love the ... I have no responsibility for this thing I obviously signed up for (they have your acct info so you gave it to them) nor am I big boy enough to check on my savings balance in 4 years. So YOU have to change my diaper and take care of my non-adulting ass.… https://t.co/u75gOnqhSy""",love the i have no responsibility for this thing i obviously signed up for they have your acct info so you gave it to them nor am i big boy enough to check on my savings balance in years so you have to change my diaper and take care of my ass
5942,att verizon,neu,0.0,@MisterPreda @verizon @ATT Me when I found out I had two Netflix accounts 🙄🙄,@verizon @att me when i found out i had two netflix accounts
5949,att verizon,neu,0.0,"this happened to my dad too. they slid an extra phone line on there and never itemized it as such on the bill UNTIL we switched… https://t.co/gacaxrqlsN""",this happened to my dad too they slid an extra phone line on there and never itemized it as such on the bill until we switched
6000,att verizon,pos,0.0619047619047619,"On the left is @ATT #5GE #faux5G. On the right is @verizon 4G LTE. Case. Closed. #MWC19 #5GBuiltRight… """,on the left is @att on the right is @verizon lte case closed
6037,att verizon,pos,0.8,@MisterPreda @verizon @ATT I was thinking about switching to Verizon today but we stand in solidarity lol,@verizon @att i was thinking about switching to verizon today but we stand in solidarity lol
6082,att verizon,neu,0.0,"Not to mention telecommunications. @verizon data, @ATT landlines, AND @comcast were all out in my town within 6 hours of the outage, and continued to be out for 3 days. I’m wondering if in addition to generators, we all need sat phones.… https://t.co/xRQJemnMPn""",not to mention telecommunications @verizon data @att landlines and were all out in my town within hours of the outage and continued to be out for days i m wondering if in addition to generators we all need sat phones
6100,att verizon,pos,0.03125,"I mean, I know you and Joey are not on Jeffree Star rich status but like, HOW DID YOU NOT NOTICED ... 100$ for almost 5 years… https://t.co/p5sFp6gqYR""",i mean i know you and joey are not on jeffree star rich status but like how did you not noticed for almost years
6203,att verizon,neu,0.0,RT @tyleriacona: @MisterPreda @verizon @ATT This is giving me Mariah Carey not knowing that she has to pay for electricity energy,rt @verizon @att this is giving me mariah carey not knowing that she has to pay for electricity energy
6224,att verizon,pos,0.43333333333333335,"@ATT so @verizon is giving away a free year of @disneyplus on top of their already free subscription to @AppleMusic... & @Spotify is giving away free @google home minis... where are our perks?!? 😝""",@att so @verizon is giving away a free year of on top of their already free subscription to is giving away free home minis where are our perks
6249,att verizon,neu,0.0,@MisterPreda @verizon @ATT I used to work for Verizon fraud department and trust me this happens OFTEN 🐸🍵,@verizon @att i used to work for verizon fraud department and trust me this happens often
6289,att verizon,neg,-0.029166666666666664,"I’m a little surprised at the verizon #DisPlus news just because Att is Disney’s corporate cell partner.

You’d think both sides would be keen to reenforce that relationship""",i m a little surprised at the verizon news just because att is disney s corporate cell partner you d think both sides would be keen to reenforce that relationship
6327,att verizon,neu,0.0,@MisterPreda @verizon @ATT I would be RAGING,@verizon @att i would be raging
6356,att verizon,neu,0.0,"Verizon, ATT, etc are leaders in digital space. BSNL/MTNL still working junction boxes and junk telephones. Time to transform itself to be a digital leader.… https://t.co/H605ZWEw9S""",verizon att etc are leaders in digital space bsnl mtnl still working junction boxes and junk telephones time to transform itself to be a digital leader
6417,att verizon,neg,-0.29999999999999993,"@MisterPreda @verizon @ATT wow, if you didn't miss 100 bucks a month you have a bad accountant.",@verizon @att wow if you miss bucks a month you have a bad accountant
6419,att verizon,pos,0.03333333333333333,RT @Nelroberito: GIVEAWAY: I've partnered with Verizon Att sprint to give away 3x  IPhone 11 pro max 3 devices on each of my social media p…,rt giveaway partnered with verizon att sprint to give away iphone pro max devices on each of my social media p
6468,att verizon,neu,0.0,"Take it to court!!! Get a lawyer!!! Thats thousands of dollars not rightfully taken... theft... excursion I think. Either way it’s not legal. So you need to sue. No way you won’t win.… https://t.co/p9wMUJgZLb""",take it to court get a lawyer thats thousands of dollars not rightfully taken theft excursion i think either way it s not legal so you need to sue no way you won t win
6519,att verizon,neu,0.0,GIVEAWAY: I've partnered with Verizon Att sprint to give away 3x  IPhone 11 pro max 3 devices on each of my social… https://t.co/Njtr6gS2kN,giveaway partnered with verizon att sprint to give away iphone pro max devices on each of my social
6539,att verizon,neu,0.0,@carlotdoe @verizon @ATT glanced at this and though it was an #ad 😩,@verizon @att glanced at this and though it was an
6553,att verizon,neu,0.0,@sarahcoasts @MisterPreda @verizon @ATT Who doesn’t check their savings account in four years though? 😬,@verizon @att who doesn t check their savings account in four years though
6573,att verizon,neu,0.0,@MisterPreda @verizon @ATT Oh honey! I'd be slapping the hair off of somebody's head!,@verizon @att oh honey be slapping the hair off of head
2563,verizon tmobile,pos,0.55,"Verizon has the best speeds and customer service of any carrier.
T-Mobile offers the most attractive plans and perks.… https://t.co/uDz3Q5yT3M""",verizon has the best speeds and customer service of any carrier offers the most attractive plans and perks
2591,verizon tmobile,neg,-0.15555555555555559,@GerberKawasaki @TMobile @JohnLegere @verizon @attmobilecenter How to lock down?,@tmobile @verizon @attmobilecenter how to lock down
2605,verizon tmobile,neu,0.0,Verizon or Tmobile?,verizon or tmobile
2674,verizon tmobile,neg,-0.15555555555555559,"How do you lock down a Sim card?

How can ppl steal money from. Your cell phone?

Scary but I don't understand… https://t.co/W36Y2C5yFk""",how do you lock down a sim card how can ppl steal money from your cell phone scary but i understand
2714,verizon tmobile,pos,0.4,".@verizon got Disney Plus for one year free?

Your move @TMobile… """,@verizon got disney plus for one year free your move @tmobile
2833,verizon tmobile,neu,0.0,"Me too...oh we’re going to merge with Sprint LIAR...oh we’re going to have 5G ..can’t because huawei has put a back door on their 5G system and won’t give us the ability to close so China can’t open it..which is fine with me but stop using it as a selling point… https://t.co/w8yvZcACKG""",me too oh we re going to merge with sprint liar oh we re going to have can t because huawei has put a back door on their system and won t give us the ability to close so china can t open it which is fine with me but stop using it as a selling point
2839,verizon tmobile,neu,0.0,@JohnLegere @piratesbooty @verizon So how do I take you up on this bet?? because Pirate booty is Meh.. and I have Tmobile??,@verizon so how do i take you up on this bet because pirate booty is meh and i have tmobile
2858,verizon tmobile,pos,0.09375,"@JohnLegere @piratesbooty @verizon If I love @piratesbooty and switched from @Verizon to @TMobile, does that mean I get $200?  😂😂😂",@verizon if i love and switched from @verizon to @tmobile does that mean i get
2861,verizon tmobile,neu,0.0,@JohnLegere @oneplus @TMobile @sprint Wait didnt verizon release 5g back in april?,@tmobile wait didnt verizon release back in april
2904,verizon tmobile,pos,0.19999999999999998,"@JohnLegere @oneplus @TMobile Nice, we just switched a few weeks ago from @verizon I couldn’t be happier",@tmobile nice we just switched a few weeks ago from @verizon i couldn t be happier
2948,verizon tmobile,pos,0.5444444444444444,"I win, been a loyal @TMobile customer for almost 9 years and while I love popcorn, pirates booty just doesn't do it for me.… https://t.co/TffOvfEXXx""",i win been a loyal @tmobile customer for almost years and while i love popcorn pirates booty just do it for me
2992,verizon tmobile,neu,0.0,@JohnLegere @piratesbooty @verizon I don’t and I use @TMobile 🤷🏽‍♀️ cashapp please,@verizon i don t and i use @tmobile cashapp please
3003,verizon tmobile,pos,0.45000000000000007,@JohnLegere @piratesbooty @verizon Accurate about my fiancé. I love @piratesbooty &amp; @TMobile 💜,@verizon accurate about my fiancé i love @tmobile
3011,verizon tmobile,neu,0.0,"....believe in #Magenta, but over the course of almost 3 years @TMobile screwed me more than I can or am willing to Express into words. Have a nice day.… https://t.co/zZXGiOFJLK""",believe in but over the course of almost years @tmobile screwed me more than i can or am willing to express into words have a nice day
3025,verizon tmobile,pos,0.4166666666666667,"Avast! Now thar be a fine treat fer @TMobile ta be given out on a #tmobiletuesdays. 
As ye ol' Charlie sez, "" Love me Good N Plenty. Taint no other candy that I loves so well!""… https://t.co/WWEkaz7FBx""",avast now thar be a fine treat fer @tmobile ta be given out on a #tmobiletuesdays as ye ol charlie sez love me good n plenty taint no other candy that i loves so well
3029,verizon tmobile,neg,-0.05,"Haargh! Ye be needin' ta send me a 100 doubloons. I be a long time @TMobile user. I be caring none fer them blasted things ye call Pirate booty. Aye, if'n food were me booty it be @TillamookSmoker 
Now thar be a tasty morsel.… https://t.co/Tk4ZAslQL3""",haargh ye be needin ta send me a doubloons i be a long time @tmobile user i be caring none fer them blasted things ye call pirate booty aye food were me booty it be now thar be a tasty morsel
3048,verizon tmobile,neu,0.0,"@JohnLegere @piratesbooty @verizon Don't like it, also have @TMobile",@verizon like it also have @tmobile
3054,verizon tmobile,pos,0.625,"Ok now this just may make me want to switch from @verizon  !… """,ok now this just may make me want to switch from @verizon
3070,verizon tmobile,neu,0.0,@JohnLegere @piratesbooty @verizon I’ve never had it but I’ve been with TMOBILE for years.,@verizon i ve never had it but i ve been with tmobile for years
3073,verizon tmobile,neu,0.0,"At 1 time i had to wait 17 min just to get a customer service person & it wasn't even like they where having problems high calls they just opened.… https://t.co/BCaq5RdkUe""",at time i had to wait min just to get a customer service person it even like they where having problems high calls they just opened
3097,verizon tmobile,neu,0.0,"@JohnLegere @piratesbooty @verizon Never had it before, and I have TMobile ! I'll just take bill credits",@verizon never had it before and i have tmobile just take bill credits
3108,verizon tmobile,pos,0.8,"@JohnLegere @piratesbooty @verizon as a @TMobile user, maybe this could be a nice holiday gift lol I would like to try!",@verizon as a @tmobile user maybe this could be a nice holiday gift lol i would like to try
3112,verizon tmobile,neu,0.0,@JohnLegere @piratesbooty @verizon I'd use TMobile but they have no coverage in my area,@verizon use tmobile but they have no coverage in my area
3125,verizon tmobile,neg,-0.15625,"I’mhaving the same problem man. But mine is Verizon. Does that mean I can’t take it to my carrier unless I get rid of the carrier that is locked to?… https://t.co/cA2bsgxWYp""",i mhaving the same problem man but mine is verizon does that mean i can t take it to my carrier unless i get rid of the carrier that is locked to
3130,verizon tmobile,pos,0.5,"So I have @TMobile and I love love @piratesbooty my one problem I have with #TMobile right now is voice mail time line so fixed that and we will be good thank you in ADVANCE #johnlegere… https://t.co/fvlGWClzSc""",so i have @tmobile and i love love my one problem i have with #tmobile right now is voice mail time line so fixed that and we will be good thank you in advance
14843,att verizon tmobile,neu,0.0,Yup I’m switching to Tmobile or verizon. Att pissed me off today,yup i m switching to tmobile or verizon att pissed me off today
16338,att verizon tmobile,pos,0.3,"@peter_adderton @benlovejoy How many people are @verizon, @ATT and @TMobile reaching so far?",how many people are @verizon @att and @tmobile reaching so far
17177,att verizon tmobile,neu,0.0,"@ATTHelp @verizon @VZWSupport @TMobile @TMobileHelp @sprintcare @sprint  @marceloclaure  all of you guys have the worst Data Service in Bakersfield CA I go see a friend on Ellensport Way 93313 all bad Data barley get 2mb please fix""",@atthelp @verizon @tmobile @tmobilehelp all of you guys have the worst data service in bakersfield ca i go see a friend on ellensport way all bad data barley get please fix
17853,att verizon tmobile,pos,0.6,@1DeepBeezyBonds @_Blackbo7 @verizon @TMobile @ATT @sprint Idk where it went lmao,@verizon @tmobile @att idk where it went lmao
17871,att verizon tmobile,pos,0.8,@_SuckaFreeO @_Blackbo7 @verizon @TMobile @ATT @sprint Ion see nothing lol up there,@verizon @tmobile @att ion see nothing lol up there
18020,att verizon tmobile,neu,0.0,@1DeepBeezyBonds @_Blackbo7 @verizon @TMobile @ATT @sprint I had to read it again I had one eye open last night 😂😂😂,@verizon @tmobile @att i had to read it again i had one eye open last night
18375,att verizon tmobile,pos,0.2,"Let’s be real. If they had any intentions of “fixing” it it would be done already. They’re a huge company with the means to do so. This map has looked like this for 5 days that I’m aware of. Do yourself a favor and get a new service elsewhere so you have a phone… https://t.co/lG61YLKgCc""",let s be real if they had any intentions of fixing it it would be done already they re a huge company with the means to do so this map has looked like this for days that i m aware of do yourself a favor and get a new service elsewhere so you have a phone
19025,att verizon tmobile,neg,-0.15555555555555559,"@plp1460 @SievertMike @Quibi @TMobile @JohnLegere @TMobileHelp @ATT @verizon @FCC Been down for days, literally.",@tmobile @tmobilehelp @att @verizon been down for days literally
19935,att verizon tmobile,neu,0.0,"All I can say is ATT is trash and Verizon is overpriced. I switched back to Sprint and it works for me in my area. I had considered T-mobile once and it was kind of a hassle just thinking of switching (losing numbers, etc) so I stuck with Sprint. I’m satisfied.… https://t.co/euso1jQVkb""",all i can say is att is trash and verizon is overpriced i switched back to sprint and it works for me in my area i had considered once and it was kind of a hassle just thinking of switching losing numbers etc so i stuck with sprint i m satisfied
20086,att verizon tmobile,neu,0.0,@milkshakeyshae_ @TMobile Att or Verizon,@tmobile att or verizon
33151,att verizon tmobile,pos,1.0,"So between tmobile, verizon, and Att.... which do yall think is the best?",so between tmobile verizon and att which do yall think is the best
33231,att verizon tmobile,pos,0.5,@ATT @ATT I hope it was worth it.  @Verizon @sprint @tmobile whats good?,@att @att i hope it was worth it @verizon @tmobile whats good
34239,att verizon tmobile,pos,0.06818181818181818,"Now up on the auction block: NEW OPEN BOX Samsung Galaxy S6 Edge+ Plus SM-G928V Verizon ATT TMobile Unlocked $172.00 via eBay https://t.co/xWAG5PkQ1s""",now up on the auction block new open box samsung galaxy edge plus verizon att tmobile unlocked via ebay
34284,att verizon tmobile,neg,-1.0,Which phone company is the worst @TMobile @sprint @ATT @verizon,which phone company is the worst @tmobile @att @verizon
34349,att verizon tmobile,neu,0.0,@ATT @TMobile @verizon @sprint you're all greedy fucks,@att @tmobile @verizon all greedy fucks
34911,att verizon tmobile,pos,0.11818181818181818,RT @FierceWireless: Could this be a new dawn for fixed wireless access from the likes of @verizon @ATT and @TMobile ? https://t.co/dQBMWIW6…,rt could this be a new dawn for fixed wireless access from the likes of @verizon @att and @tmobile
34924,att verizon tmobile,pos,0.11818181818181818,"Could this be a new dawn for fixed wireless access from the likes of @verizon @ATT and @TMobile ? https://t.co/dQBMWIW6pg #FWA #5G #mmWave… https://t.co/KmUByUwYuh""",could this be a new dawn for fixed wireless access from the likes of @verizon @att and @tmobile
35321,att verizon tmobile,neu,0.0,@ibcscore @ConventionLA @verizon @ATT @sprint @TMobile See you there! 👋,@verizon @att @tmobile see you there
35563,att verizon tmobile,neg,-0.3333333333333333,@ATTHelp @TMobile @verizon Can't even load Instagram comments.... This is actually ridiculous for an unlimited data plan..,@atthelp @tmobile @verizon even load instagram comments this is actually ridiculous for an unlimited data plan
35585,att verizon tmobile,pos,1.0,RT @ludzchoi: 🙏🏻 👀 awesome to see my Store getting ❤️ 😂 COME BY Plaza Bonita @TMobile anytime!!! We ❤️ to switch over all @verizon &amp; @ATT c…,rt awesome to see my store getting come by plaza bonita @tmobile anytime we to switch over all @verizon @att c
46434,att verizon tmobile,pos,0.78125,"@ChrisSmithMusic @ATTHelp @ATT @TMobile @verizon I’ll be looking into that, thank you, love!!",@atthelp @att @tmobile @verizon i ll be looking into that thank you love
47702,att verizon tmobile,neu,0.0,@DavePeterson_ @TMobile @ATT @verizon @Google @Google your thoughts??,@tmobile @att @verizon your thoughts
47908,att verizon tmobile,neg,-0.16666666666666666,"Now up on the auction block: Samsung Galaxy S6 Edge+ Plus SM-G928V Black Verizon ATT TMobile Unlocked 7410382 $147.00 via eBay https://t.co/Hi6Q13t4Kl""",now up on the auction block samsung galaxy edge plus black verizon att tmobile unlocked via ebay
47909,att verizon tmobile,neg,-0.6162109375,RT @ddlc4life247: @TMobile @ATT @verizon IF YOUR IN WEST TEXAS.  VERIZON SUCKS BALLS!!!!  THEY HAVE FAILED TO FULFILL AND ASSIST IN ANY RES…,rt @tmobile @att @verizon if your in west texas verizon sucks balls they have failed to fulfill and assist in any res
48358,att verizon tmobile,neg,-0.22499999999999992,"What is stopping carriers like @TMobile @ATT and @Verizon from supporting #rcs. Just as bad, why was it reported that @Google was taking over implementation 6 months ago and no progress has been made?""",what is stopping carriers like @tmobile @att and @verizon from supporting just as bad why was it reported that was taking over implementation months ago and no progress has been made
